,value,group
0,0.09,Dairy and Egg Products
1,0.05,Dairy and Egg Products
2,0.01,Dairy and Egg Products
3,2.66,Dairy and Egg Products
4,2.6,Dairy and Egg Products
5,2.38,Dairy and Egg Products
6,2.38,Dairy and Egg Products
7,2.94,Dairy and Egg Products
8,3.64,Dairy and Egg Products
9,2.79,Dairy and Egg Products
10,3.07,Dairy and Egg Products
11,0.4,Dairy and Egg Products
12,0.33,Dairy and Egg Products
13,0.47,Dairy and Egg Products
14,0.51,Dairy and Egg Products
15,0.38,Dairy and Egg Products
16,0.5,Dairy and Egg Products
17,3.75,Dairy and Egg Products
18,2.88,Dairy and Egg Products
19,3.5,Dairy and Egg Products
20,1.14,Dairy and Egg Products
21,3.9,Dairy and Egg Products
22,3.9,Dairy and Egg Products
23,2.1,Dairy and Egg Products
24,3.0,Dairy and Egg Products
25,2.92,Dairy and Egg Products
26,2.46,Dairy and Egg Products
27,2.76,Dairy and Egg Products
28,3.62,Dairy and Egg Products
29,2.81,Dairy and Egg Products
30,0.82,Dairy and Egg Products
31,4.2,Dairy and Egg Products
32,2.75,Dairy and Egg Products
33,2.6,Dairy and Egg Products
34,3.23,Dairy and Egg Products
35,1.16,Dairy and Egg Products
36,1.34,Dairy and Egg Products
37,2.58,Dairy and Egg Products
38,2.08,Dairy and Egg Products
39,4.37,Dairy and Egg Products
40,3.5,Dairy and Egg Products
41,2.49,Dairy and Egg Products
42,2.98,Dairy and Egg Products
43,3.61,Dairy and Egg Products
44,3.01,Dairy and Egg Products
45,2.31,Dairy and Egg Products
46,3.55,Dairy and Egg Products
47,2.59,Dairy and Egg Products
48,0.39,Dairy and Egg Products
49,0.32,Dairy and Egg Products
50,0.25,Dairy and Egg Products
51,0.24,Dairy and Egg Products
52,0.37,Dairy and Egg Products
53,0.5,Dairy and Egg Products
54,0.33,Dairy and Egg Products
55,0.46,Dairy and Egg Products
56,0.37,Dairy and Egg Products
57,0.36,Dairy and Egg Products
58,0.36,Dairy and Egg Products
59,4.11,Dairy and Egg Products
60,0.02,Dairy and Egg Products
61,0.02,Dairy and Egg Products
62,0.07,Dairy and Egg Products
63,0.08,Dairy and Egg Products
64,0.27,Dairy and Egg Products
65,0.01,Dairy and Egg Products
66,0.03,Dairy and Egg Products
67,1.18,Dairy and Egg Products
68,1.18,Dairy and Egg Products
69,0.37,Dairy and Egg Products
70,0.38,Dairy and Egg Products
71,0.48,Dairy and Egg Products
72,0.4,Dairy and Egg Products
73,0.45,Dairy and Egg Products
74,0.42,Dairy and Egg Products
75,0.4,Dairy and Egg Products
76,0.45,Dairy and Egg Products
77,0.42,Dairy and Egg Products
78,0.41,Dairy and Egg Products
79,0.45,Dairy and Egg Products
80,0.42,Dairy and Egg Products
81,0.38,Dairy and Egg Products
82,3.34,Dairy and Egg Products
83,4.08,Dairy and Egg Products
84,4.41,Dairy and Egg Products
85,4.03,Dairy and Egg Products
86,4.02,Dairy and Egg Products
87,0.94,Dairy and Egg Products
88,0.77,Dairy and Egg Products
89,0.9,Dairy and Egg Products
90,0.41,Dairy and Egg Products
91,0.39,Dairy and Egg Products
92,0.43,Dairy and Egg Products
93,0.63,Dairy and Egg Products
94,0.3,Dairy and Egg Products
95,0.17,Dairy and Egg Products
96,0.22,Dairy and Egg Products
97,0.54,Dairy and Egg Products
98,0.48,Dairy and Egg Products
99,0.39,Dairy and Egg Products
100,0.43,Dairy and Egg Products
101,6.31,Dairy and Egg Products
102,0.13,Dairy and Egg Products
103,1.97,Dairy and Egg Products
104,0.59,Dairy and Egg Products
105,0.89,Dairy and Egg Products
106,0.97,Dairy and Egg Products
107,0.83,Dairy and Egg Products
108,0.67,Dairy and Egg Products
109,0.74,Dairy and Egg Products
110,0.82,Dairy and Egg Products
111,1.29,Dairy and Egg Products
112,0.03,Dairy and Egg Products
113,2.3,Dairy and Egg Products
114,3.17,Dairy and Egg Products
115,3.06,Dairy and Egg Products
116,1.39,Dairy and Egg Products
117,1.05,Dairy and Egg Products
118,1.09,Dairy and Egg Products
119,1.29,Dairy and Egg Products
120,1.04,Dairy and Egg Products
121,3.15,Dairy and Egg Products
122,5.71,Dairy and Egg Products
123,0.15,Dairy and Egg Products
124,0.16,Dairy and Egg Products
125,7.73,Dairy and Egg Products
126,1.41,Dairy and Egg Products
127,1.33,Dairy and Egg Products
128,1.47,Dairy and Egg Products
129,1.58,Dairy and Egg Products
130,1.82,Dairy and Egg Products
131,0.09,Dairy and Egg Products
132,3.19,Dairy and Egg Products
133,0.42,Dairy and Egg Products
134,0.41,Dairy and Egg Products
135,0.77,Dairy and Egg Products
136,4.08,Dairy and Egg Products
137,4.41,Dairy and Egg Products
138,1.59,Dairy and Egg Products
139,0.66,Dairy and Egg Products
140,0.92,Dairy and Egg Products
141,2.87,Dairy and Egg Products
142,1.92,Dairy and Egg Products
143,1.26,Dairy and Egg Products
144,2.94,Dairy and Egg Products
145,3.02,Dairy and Egg Products
146,3.5,Dairy and Egg Products
147,1.82,Dairy and Egg Products
148,3.09,Dairy and Egg Products
149,1.32,Dairy and Egg Products
150,0.07,Dairy and Egg Products
151,0.1,Dairy and Egg Products
152,0.48,Dairy and Egg Products
153,0.42,Dairy and Egg Products
154,0.27,Dairy and Egg Products
155,0.5,Dairy and Egg Products
156,0.5,Dairy and Egg Products
157,4.3,Dairy and Egg Products
158,0.67,Dairy and Egg Products
159,3.0,Dairy and Egg Products
160,1.5,Dairy and Egg Products
161,1.13,Dairy and Egg Products
162,1.64,Dairy and Egg Products
163,2.36,Dairy and Egg Products
164,2.5,Dairy and Egg Products
165,1.84,Dairy and Egg Products
166,2.49,Dairy and Egg Products
169,0.81,Dairy and Egg Products
170,0.31,Dairy and Egg Products
171,0.39,Dairy and Egg Products
172,0.82,Dairy and Egg Products
